OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-372947109124601,(D-38-25)07DBB01 DUP1,Well,,14080203,,,,,37.4963865,-109.213446,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,Colorado Plateaus aquifers,Entrada Sandstone of San Rafael Group,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-382947109124601,(D-38-25)07DBB01 DUP2,Well,,14030004,,,,,38.4963757,-109.2134472,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,49,49,Colorado Plateaus aquifers,Entrada Sandstone of San Rafael Group,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-395654109325401,(D-10-21)16ADD-1,Well,,14050007,,,,,39.9482986,-109.5490207,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,Green River Formation,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USEPA-395832111413101,UT4900340                      RUSH FLAT,Spring,,16020202,,,,,39.9755108,-111.6927045,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,5520,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,Basin and Range carbonate-rock aquifers,,Unconfined single aquifer,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USEPA-401944111375301,UT4900359                      YELLOWJACKET,Spring,,16020203,,,,,40.3272222,-111.6427778,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5000,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,Basin and Range carbonate-rock aquifers,,Unconfined single aquifer,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-09282000,STRAWBERRY TUNNEL AT WEST PORTAL NR THISTLE,Stream,,16020202,,,,,40.1610673,-111.2451727,,5,seconds,Interpolated from MAP.,NAD83,7470,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-09311700,PRICE RIVER NEAR SOLDIER SUMMIT UTAH,Stream,,14060007,180,sq mi,,,39.8277383,-111.0090537,,5,seconds,Interpolated from MAP.,NAD83,7200,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-09312600,WHITE R BL TABBYUNE CRK NR SOLDIER SUMMIT UT,Stream,,14060007,75.6,sq mi,,,39.8757928,-111.0373878,,5,seconds,Interpolated from MAP.,NAD83,7230,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-09312700,BEAVER CREEK NEAR SOLDIER SUMMIT UTAH,Stream,,14060007,26.1,sq mi,,,39.8305162,-110.9693302,,5,seconds,Interpolated from MAP.,NAD83,7200,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10146800,RIGHT HAND FORK GOVERNMENT CANYON NEAR ELBERTA,Stream,,16020201,2.78,sq mi,2.78,sq mi,39.8666184,-112.0174424,,5,seconds,Interpolated from MAP.,NAD83,5265,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10146900,UTAH LAKE TRIBUTARY NEAR ELBERTA UTAH,Stream,,16020201,4.71,sq mi,4.71,sq mi,40.0166187,-111.984109,,5,seconds,Interpolated from MAP.,NAD83,4790,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10147000,SUMMIT CREEK NEAR SANTAQUIN UTAH,Stream,,16020201,14.6,sq mi,,,39.9221776,-111.7535423,,5,seconds,Interpolated from MAP.,NAD83,5900,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10147100,SUMMIT CREEK ABV SUMMIT CR CANAL NR SANTAQUIN UT,Stream,,16020201,18,sq mi,,,39.9444722,-111.7748889,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5370,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10147500,PAYSON CREEK ABV DIVERSIONS NEAR PAYSON UTAH,Stream,,16020202,18.8,sq mi,,,39.9693997,-111.6938157,,5,seconds,Interpolated from MAP.,NAD83,5670,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10148000,PAYSON CREEK NEAR PAYSON UTAH,Stream,,16020202,28,sq mi,,,39.9999549,-111.7007607,,5,seconds,Interpolated from MAP.,NAD83,5060,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10148200,TIE FORK NEAR SOLDIER SUMMIT UT,Stream,,16020202,19.4,sq mi,,,39.9499577,-111.2168391,24000,1,seconds,Interpolated from MAP.,NAD83,6120,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10148300,DAIRY FORK NEAR THISTLE UTAH,Stream,,16020202,11,sq mi,11,sq mi,39.9666236,-111.3507357,,5,seconds,Interpolated from MAP.,NAD83,5780,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10148400,NEBO CREEK NEAR THISTLE UTAH,Stream,,16020202,36.7,sq mi,,,39.8716242,-111.5701964,,5,seconds,Interpolated from MAP.,NAD83,5720,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10148500,SPANISH FORK AT THISTLE UTAH,Stream,,16020202,450,sq mi,,,39.9994002,-111.4993557,,5,seconds,Interpolated from MAP.,NAD83,5027.28,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10148510,SPANISH FORK BLW HALLS FALLS NR SPANISH FORK UTAH,Stream,,16020202,452,sq mi,,,39.9827338,-111.5157462,,5,seconds,Interpolated from MAP.,NAD83,5000,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10149000,SIXTH WATER CRK AB SYAR TUN NR SPRINGVILLE UT,Stream,,16020202,15,sq mi,,,40.1180121,-111.3146215,240000,1,seconds,Interpolated from MAP.,NAD83,6320,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10149400,DIAMOND FORK ABV RED HOLLOW NR THISTLE UT,Stream,,16020202,97,sq mi,,,40.0763454,-111.383237,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5390,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10149500,DIAMOND FORK BELOW RED HOLLOW NEAR THISTLE UT,Stream,,16020202,107,sq mi,,,40.0785676,-111.4096276,,0.5,seconds,Interpolated from MAP.,NAD83,5300,feet,40,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10150000,DIAMOND FORK NEAR THISTLE UTAH,Stream,,16020202,141,sq mi,,,40.0638453,-111.4424075,,5,seconds,Interpolated from MAP.,NAD83,5140,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10150500,SPANISH FORK AT CASTILLA UT,Stream,,16020202,652,sq mi,,,40.0496781,-111.5479705,,5,seconds,Interpolated from MAP.,NAD83,4870,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10151500,SPANISH FORK NEAR SPANISH FORK UT,Stream,,16020202,670,sq mi,,,40.0666225,-111.5674164,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10152000,SPANISH FORK NEAR LAKE SHORE UTAH,Stream,,16020202,675,sq mi,,,40.1502318,-111.7260394,,1,seconds,Interpolated from MAP.,NAD83,4500,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10152001,SPANISH FORK AT MOUTH NEAR LAKE SHORE UTAH,Stream,,16020202,675,sq mi,,,40.1582872,-111.7310397,,5,seconds,Interpolated from MAP.,NAD83,4495,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10152500,HOBBLE CR NR SPRINGVILLE UTAH,Stream,,16020202,105,sq mi,,,40.1580125,-111.5274129,,5,seconds,Interpolated from MAP.,NAD83,4920,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10152700,MAPLE CREEK NEAR MAPLETON UTAH,Stream,,16020202,3.13,sq mi,,,40.1335681,-111.5071337,,5,seconds,Interpolated from MAP.,NAD83,5900,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10153000,MAPLE CREEK NR SPRINGVILLE UT,Stream,,16020202,10.8,sq mi,,,40.130512,-111.5438032,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10153100,HOBBLE CREEK AT 1650 WEST AT SPRINGVILLE UTAH,Stream,,16020202,115,sq mi,,,40.1788719,-111.639338,,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4501,feet,5,feet,Interpolated from topographic map.,NAVD88,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10153200,BIG COVE WASH NEAR LEHI UTAH,Stream,,16020201,0.44,sq mi,0.44,sq mi,40.2332852,-111.8841006,,5,seconds,Interpolated from MAP.,NAD83,4760,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10160800,NO FK PROVO RIV AT WILDWOOD UTAH,Stream,,16020203,12.3,sq mi,,,40.370511,-111.5671382,,5,seconds,Interpolated from MAP.,NAD83,5420,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10161000,PROVO RIVER AT VIVIAN PARK UTAH,Stream,,16020203,598,sq mi,,,40.3610668,-111.563249,,5,seconds,Interpolated from MAP.,NAD83,5200,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10161500,SOUTH FORK PROVO R AT VIVIAN PARK UTAH,Stream,,16020203,33.4,sq mi,,,40.3527334,-111.5701939,,5,seconds,Interpolated from MAP.,NAD83,5240,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10162000,PROVO R ABV TELLURIDE POWER CO. DAM NR PROVO UT,Stream,,16020203,640,sq mi,,,40.3527331,-111.5813059,,5,seconds,Interpolated from MAP.,NAD83,5180,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10162850,ROCK CREEK OVERFLOW EAST OF HIWAY 189 NR PROVO UT,Stream,,16020203,,,,,40.269677,-111.6529776,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10162851,STORM DRAIN WEST OF HIWAY 189 NEAR PROVO UTAH,Facility: Storm sewer,,16020203,,,,,40.269677,-111.6535332,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10163000,PROVO RIVER AT PROVO UT,Stream,,16020203,673,sq mi,,,40.2377318,-111.69937,,5,seconds,Interpolated from MAP.,NAD83,4510,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10164500,AMERICAN FK AB UPPER POWERPLANT NR AMERICAN FK UT,Stream,,16020201,51.1,sq mi,,,40.4477297,-111.6821472,,5,seconds,Interpolated from MAP.,NAD83,5950,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10165500,DRY CREEK NEAR ALPINE UTAH,Stream,,16020201,9.82,sq mi,,,40.4763388,-111.7577082,,5,seconds,Interpolated from MAP.,NAD83,5320,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10166000,FORT CREEK AT ALPINE UTAH,Stream,,16020201,6.55,sq mi,,,40.4652278,-111.779931,,5,seconds,Interpolated from MAP.,NAD83,5050,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10166400,TICKVILLE GULCH NR CEDAR VALLEY UTAH,Stream,,16020201,15.6,sq mi,15.6,sq mi,40.383283,-112.0007707,,5,seconds,Interpolated from MAP.,NAD83,4970,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10166430,WEST CANYON CREEK NEAR CEDAR FORT UT,Stream,,16020201,26.8,sq mi,,,40.4052257,-112.1004959,24000,1,seconds,Interpolated from MAP.,NAD83,5620,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10166500,UTAH LAKE NR LEHI UTAH,Stream,,16020201,2950,sq mi,,,40.3638394,-111.8966009,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-10166605,JORDAN RIVER AT LEHI BRIDGE NEAR LEHI UTAH,Stream,,16020201,,,,,40.3871724,-111.9052123,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394730112010001,(C-11- 2)26dbb-S1,Spring,,16020201,,,,,39.7916184,-112.0174416,,1,seconds,Interpolated from MAP.,NAD83,5440,feet,50,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394816112000301,(C-11- 2)36cdd-S1,Spring,,16020201,,,,,39.8043964,-112.001608,24000,1,seconds,Interpolated from MAP.,NAD83,6240,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Mafic Rocks,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394828112025301,(C-11- 2)34dac-S1,Spring,,16020201,,,,,39.807729,-112.0488315,24000,1,seconds,Interpolated from MAP.,NAD83,6360,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Mafic Rocks,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-394832112025501,(C-11- 2)34dab-S1,Spring,,16020201,,,,,39.8088401,-112.049387,24000,1,seconds,Interpolated from MAP.,NAD83,6435,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
